Samples,Plant,Year,Plot,Nitrogen,Days,Soil,fertilizer,Type,Comparing,Nucelic
2001_C_2018_P3_N300_A_20180429_CABBI,Corn,2018,3,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2002_C_2018_P3_N300_B_20180429_CABBI,Corn,2018,3,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2003_C_2018_P3_N300_C_20180429_CABBI,Corn,2018,3,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2004_C_2018_P4_N0_A_20180429_CABBI,Corn,2018,4,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2005_C_2018_P4_N0_B_20180429_CABBI,Corn,2018,4,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2006_C_2018_P4_N0_C_20180429_CABBI,Corn,2018,4,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2007_C_2018_P5_N200_A_20180429_CABBI,Corn,2018,5,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2008_C_2018_P5_N200_B_20180429_CABBI,Corn,2018,5,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2009_C_2018_P5_N200_C_20180429_CABBI,Corn,2018,5,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2010_C_2018_P6_N300_A_20180429_CABBI,Corn,2018,6,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2011_C_2018_P6_N300_B_20180429_CABBI,Corn,2018,6,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2012_C_2018_P6_N300_C_20180429_CABBI,Corn,2018,6,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2013_C_2018_P7_N0_A_20180429_CABBI,Corn,2018,7,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2014_C_2018_P7_N0_B_20180429_CABBI,Corn,2018,7,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2015_C_2018_P7_N0_C_20180429_CABBI,Corn,2018,7,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2016_C_2018_P9_N200_A_20180429_CABBI,Corn,2018,9,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2017_C_2018_P9_N200_B_20180429_CABBI,Corn,2018,9,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2018_C_2018_P9_N200_C_20180429_CABBI,Corn,2018,9,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2019_C_2018_P12_N200_A_20180429_CABBI,Corn,2018,12,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2020_C_2018_P12_N200_B_20180429_CABBI,Corn,2018,12,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2021_C_2018_P12_N200_C_20180429_CABBI,Corn,2018,12,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2022_C_2018_P13_N300_A_20180429_CABBI,Corn,2018,13,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2023_C_2018_P13_N300_B_20180429_CABBI,Corn,2018,13,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2024_C_2018_P13_N300_C_20180429_CABBI,Corn,2018,13,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2025_C_2018_P14_N0_A_20180429_CABBI,Corn,2018,14,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2026_C_2018_P14_N0_B_20180429_CABBI,Corn,2018,14,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2027_C_2018_P14_N0_C_20180429_CABBI,Corn,2018,14,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2028_M_2015_P3_N400_A_20180429_CABBI,Miscanthus,2015,3,400,-10,Rizosphere,no,2015_400_-10,1,DNA
2029_M_2015_P3_N400_B_20180429_CABBI,Miscanthus,2015,3,400,-10,Rizosphere,no,2015_400_-10,1,DNA
2030_M_2015_P3_N400_C_20180429_CABBI,Miscanthus,2015,3,400,-10,Rizosphere,no,2015_400_-10,1,DNA
2031_M_2015_P4_N0_A_20180429_CABBI,Miscanthus,2015,4,0,-10,Rizosphere,no,2015_0_-10,1,DNA
2032_M_2015_P4_N0_B_20180429_CABBI,Miscanthus,2015,4,0,-10,Rizosphere,no,2015_0_-10,1,DNA
2033_M_2015_P4_N0_C_20180429_CABBI,Miscanthus,2015,4,0,-10,Rizosphere,no,2015_0_-10,1,DNA
2034_M_2015_P5_N200_A_20180429_CABBI,Miscanthus,2015,5,200,-10,Rizosphere,no,2015_200_-10,1,DNA
2035_M_2015_P5_N200_B_20180429_CABBI,Miscanthus,2015,5,200,-10,Rizosphere,no,2015_200_-10,1,DNA
2036_M_2015_P5_N200_C_20180429_CABBI,Miscanthus,2015,5,200,-10,Rizosphere,no,2015_200_-10,1,DNA
2037_M_2016_P6_N400_A_20180429_CABBI,Miscanthus,2016,6,400,-10,Rizosphere,no,2016_400_-10,1,DNA
