Samples,Plant,Year,Plot,Nitrogen,Days,Soil,fertilizer,Type,Nucelic
2001_C_2018_N300_P3_A_20180429_RNA_CABBI,Corn,2018,3,300,-10,Rizosphere,no,2018_300_-10,RNA
2002_C_2018_N300_P3_B_20180429_RNA_CABBI,Corn,2018,3,300,-10,Rizosphere,no,2018_300_-10,RNA
2003_C_2018_N300_P3_C_20180429_RNA_CABBI,Corn,2018,3,300,-10,Rizosphere,no,2018_300_-10,RNA
2004_C_2018_N0_P4_A_20180429_RNA_CABBI,Corn,2018,4,0,-10,Rizosphere,no,2018_0_-10,RNA
2005_C_2018_N0_P4_B_20180429_RNA_CABBI,Corn,2018,4,0,-10,Rizosphere,no,2018_0_-10,RNA
2006_C_2018_N0_P4_C_20180429_RNA_CABBI,Corn,2018,4,0,-10,Rizosphere,no,2018_0_-10,RNA
2007_C_2018_N200_P5_A_20180429_RNA_CABBI,Corn,2018,5,200,-10,Rizosphere,no,2018_200_-10,RNA
2008_C_2018_N200_P5_B_20180429_RNA_CABBI,Corn,2018,5,200,-10,Rizosphere,no,2018_200_-10,RNA
2009_C_2018_N200_P5_C_20180429_RNA_CABBI,Corn,2018,5,200,-10,Rizosphere,no,2018_200_-10,RNA
2010_C_2018_N300_P6_A_20180429_RNA_CABBI,Corn,2018,6,300,-10,Rizosphere,no,2018_300_-10,RNA
2011_C_2018_N300_P6_B_20180429_RNA_CABBI,Corn,2018,6,300,-10,Rizosphere,no,2018_300_-10,RNA
2012_C_2018_N300_P6_C_20180429_RNA_CABBI,Corn,2018,6,300,-10,Rizosphere,no,2018_300_-10,RNA
2013_C_2018_N0_P7_A_20180429_RNA_CABBI,Corn,2018,7,0,-10,Rizosphere,no,2018_0_-10,RNA
2014_C_2018_N0_P7_B_20180429_RNA_CABBI,Corn,2018,7,0,-10,Rizosphere,no,2018_0_-10,RNA
2015_C_2018_N0_P7_C_20180429_RNA_CABBI,Corn,2018,7,0,-10,Rizosphere,no,2018_0_-10,RNA
2016_C_2018_N200_P9_A_20180429_RNA_CABBI,Corn,2018,9,200,-10,Rizosphere,no,2018_200_-10,RNA
2017_C_2018_N200_P9_B_20180429_RNA_CABBI,Corn,2018,9,200,-10,Rizosphere,no,2018_200_-10,RNA
2018_C_2018_N200_P9_C_20180429_RNA_CABBI,Corn,2018,9,200,-10,Rizosphere,no,2018_200_-10,RNA
2019_C_2018_N200_P12_A_20180429_RNA_CABBI,Corn,2018,12,200,-10,Rizosphere,no,2018_200_-10,RNA
2020_C_2018_N200_P12_B_20180429_RNA_CABBI,Corn,2018,12,200,-10,Rizosphere,no,2018_200_-10,RNA
2021_C_2018_N200_P12_C_20180429_RNA_CABBI,Corn,2018,12,200,-10,Rizosphere,no,2018_200_-10,RNA
2022_C_2018_N300_P13_A_20180429_RNA_CABBI,Corn,2018,13,300,-10,Rizosphere,no,2018_300_-10,RNA
2023_C_2018_N300_P13_B_20180429_RNA_CABBI,Corn,2018,13,300,-10,Rizosphere,no,2018_300_-10,RNA
2024_C_2018_N300_P13_C_20180429_RNA_CABBI,Corn,2018,13,300,-10,Rizosphere,no,2018_300_-10,RNA
2025_C_2018_N0_P14_A_20180429_RNA_CABBI,Corn,2018,14,0,-10,Rizosphere,no,2018_0_-10,RNA
2026_C_2018_N0_P14_B_20180429_RNA_CABBI,Corn,2018,14,0,-10,Rizosphere,no,2018_0_-10,RNA
2027_C_2018_N0_P14_C_20180429_RNA_CABBI,Corn,2018,14,0,-10,Rizosphere,no,2018_0_-10,RNA
2028_M_2015_N400_P3_A_20180429_RNA_CABBI,Miscanthus,2015,3,400,-10,Rizosphere,no,2015_400_-10,RNA
2029_M_2015_N400_P3_B_20180429_RNA_CABBI,Miscanthus,2015,3,400,-10,Rizosphere,no,2015_400_-10,RNA
2030_M_2015_N400_P3_C_20180429_RNA_CABBI,Miscanthus,2015,3,400,-10,Rizosphere,no,2015_400_-10,RNA
2031_M_2015_N0_P4_A_20180429_RNA_CABBI,Miscanthus,2015,4,0,-10,Rizosphere,no,2015_0_-10,RNA
2032_M_2015_N0_P4_B_20180429_RNA_CABBI,Miscanthus,2015,4,0,-10,Rizosphere,no,2015_0_-10,RNA
2033_M_2015_N0_P4_C_20180429_RNA_CABBI,Miscanthus,2015,4,0,-10,Rizosphere,no,2015_0_-10,RNA
2034_M_2015_N200_P5_A_20180429_RNA_CABBI,Miscanthus,2015,5,200,-10,Rizosphere,no,2015_200_-10,RNA
2035_M_2015_N200_P5_B_20180429_RNA_CABBI,Miscanthus,2015,5,200,-10,Rizosphere,no,2015_200_-10,RNA
2036_M_2015_N200_P5_C_20180429_RNA_CABBI,Miscanthus,2015,5,200,-10,Rizosphere,no,2015_200_-10,RNA
2037_M_2016_N400_P6_A_20180429_RNA_CABBI,Miscanthus,2016,6,400,-10,Rizosphere,no,2016_400_-10,RNA
2038_M_2016_N400_P6_B_20180429_RNA_CABBI,Miscanthus,2016,6,400,-10,Rizosphere,no,2016_400_-10,RNA
2039_M_2016_N400_P6_C_20180429_RNA_CABBI,Miscanthus,2016,6,400,-10,Rizosphere,no,2016_400_-10,RNA
2040_M_2016_N0_P7_A_20180429_RNA_CABBI,Miscanthus,2016,7,0,-10,Rizosphere,no,2016_0_-10,RNA
2041_M_2016_N0_P7_B_20180429_RNA_CABBI,Miscanthus,2016,7,0,-10,Rizosphere,no,2016_0_-10,RNA
2042_M_2016_N0_P7_C_20180429_RNA_CABBI,Miscanthus,2016,7,0,-10,Rizosphere,no,2016_0_-10,RNA
